product_id,product_name,category_id,total_quantity_sold,total_item_revenue,transaction_count
prod_00094,Devolved Maximized Secured Line,cat_006,43,5529.8,21
prod_00021,Devolved Interactive Contingency,cat_008,43,9825.07,24
prod_00070,Customer-Focused Radical Internet Solution,cat_006,43,14631.61,22
prod_00022,Persistent Dynamic Archive,cat_000,43,12737.03,20
prod_00028,Horizontal Interactive Standardization,cat_006,43,9515.9,23
prod_00006,Extended Needs-Based System Engine,cat_007,43,3255.96,19
prod_00073,Triple-Buffered Intermediate Ability,cat_008,43,8578.5,21
prod_00032,Business-Focused Optimal Matrices,cat_001,42,19469.1,21
prod_00015,Phased Incremental Core,cat_008,41,15223.3,21
prod_00089,Re-Engineered Content-Based Structure,cat_006,40,11305.2,22
prod_00008,Organic Multi-State Knowledge User,cat_002,40,10288.8,20
prod_00049,Sharable Empowering Middleware,cat_004,40,11862.0,18
prod_00067,Grass-Roots Asymmetric Throughput,cat_003,39,7226.31,19
prod_00090,Proactive Impactful Encryption,cat_004,38,8388.12,22
prod_00053,Triple-Buffered Interactive Open Architecture,cat_002,38,10797.7,23
prod_00000,Pre-Emptive 3Rdgeneration Budgetary Management,cat_002,38,7153.12,17
prod_00044,Triple-Buffered Exuding Pricing Structure,cat_004,38,3090.16,19
prod_00080,User-Friendly Context-Sensitive Pricing Structure,cat_001,37,9117.91,18
prod_00002,Configurable Attitude-Oriented Superstructure,cat_002,37,10345.2,19
prod_00023,Reactive Bandwidth-Monitored Application,cat_001,37,13149.06,17
prod_00091,Team-Oriented 24Hour System Engine,cat_006,36,15280.92,21
prod_00088,Seamless Zero Administration Archive,cat_006,35,7758.8,19
prod_00079,Ergonomic Intangible Secured Line,cat_002,35,11568.2,17
prod_00037,Intuitive Empowering Database,cat_008,34,18526.6,15
prod_00027,Multi-Tiered 24Hour Info-Mediaries,cat_006,33,3275.25,17
prod_00011,Face-To-Face 24Hour Archive,cat_008,31,13363.79,16
prod_00046,Fundamental Bifurcated Benchmark,cat_000,31,11083.12,16
prod_00085,Switchable Scalable Process Improvement,cat_002,31,3279.8,17
prod_00024,Advanced Background System Engine,cat_000,29,12485.08,17
prod_00081,Reactive 24Hour Framework,cat_007,29,8677.67,16
prod_00084,Phased User-Facing Concept,cat_004,27,3033.18,16
prod_00007,Open-Architected Static Projection,cat_008,21,2930.97,10
prod_00042,De-Engineered Grid-Enabled Architecture,cat_005,19,8832.34,12
prod_00050,Function-Based Actuating Array,cat_006,13,5401.89,7
